date,pnl_usd,pnl_cumulative_usd,pnl_cumulative_pct
2026-08-12,0.040535,0.040535,9.01957e-05
2026-08-13,2.039545,2.08008,0.0046284489
2026-08-14,0.0,2.08008,0.0046284489
2026-08-15,0.0,2.08008,0.0046284489
2026-08-16,0.0,2.08008,0.0046284489
2026-08-17,0.0,2.08008,0.0046284489
2026-08-18,0.0,2.08008,0.0046284489
2026-08-19,0.0,2.08008,0.0046284489
2026-08-20,0.0,2.08008,0.0046284489
2026-08-21,-0.035301,2.044779,0.0045498996
2026-08-22,-0.039504,2.005275,0.004461998
2026-08-23,-0.032571,1.972704,0.0043895233
2026-08-24,0.0,1.972704,0.0043895233
2026-08-25,0.66682,2.639524,0.0058732838
2026-08-26,0.0,2.639524,0.0058732838
2026-08-27,0.416613,3.056136,0.006800301
