date,equity,cash,flow,adj_factor,equity_adj,daily_return
2026-08-08,1000000.0,1000000.0,0.0,1.0,1000000.0,
2026-08-11,999441.62,735562.13,0.0,1.0,999441.62,-0.0005583799999999695
2026-08-12,1001601.1,727216.43,0.0,1.0,1001601.1,0.0021606864841190454
2026-08-13,1002954.45,847061.85,0.0,1.0,1002954.45,0.0013511866151105778
2026-08-14,1002323.63,846426.33,0.0,1.0,1002323.63,-0.0006289617639165801
2026-08-17,1002401.57,871303.81,0.0,1.0,1002401.57,7.775931612030718e-05
2026-08-18,1001834.83,856027.11,0.0,1.0,1001834.83,-0.0005653821950817317
2026-08-19,1003784.37,693762.46,0.0,1.0,1003784.37,0.0019459694768249047
2026-08-20,1002717.68,901950.62,0.0,1.0,1002717.68,-0.001062668469324679
2026-08-21,1002460.46,760140.89,0.0,1.0,1002460.46,-0.0002565228529730623
2026-08-24,1003994.21,868081.92,0.0,1.0,1003994.21,0.0015299855317985056
2026-08-25,1004008.13,680696.45,0.0,1.0,1004008.13,1.3864621789094755e-05
2026-08-26,1004652.85,922879.88,0.0,1.0,1004652.85,0.0006421461945731455
2026-08-27,1005342.15,907392.86,0.0,1.0,1005342.15,0.0006861076440485281
2026-08-28,1004285.45,938672.62,0.0,1.0,1004285.45,-0.001051084946552816
2026-08-31,1005232.89,886929.44,0.0,1.0,1005232.89,0.0009433971188173018
2026-09-01,1002553.3,849337.95,0.0,1.0,1002553.3,-0.002665640993899432
2026-09-02,1005883.77,860472.26,0.0,1.0,1005883.77,0.0033219879681209985
2026-09-03,1004210.18,908648.49,0.0,1.0,1004210.18,-0.0016638005800609923
2026-09-04,1001363.32,869113.51,0.0,1.0,1001363.32,-0.0028349244577465793
