date,equity,cash,daily_return
2026-08-08,1000000.0,1000000.0,
2026-08-11,998856.61,811477.18,-0.0011433899999999664
2026-08-12,1000375.62,813000.26,0.0015207488089807875
2026-08-13,1001990.6,783636.75,0.0016143736089848648
2026-08-14,1001784.29,782999.2,-0.0002059001351908396
2026-08-17,1000681.82,804177.46,-0.0011005063774758295
2026-08-18,998412.86,795507.96,-0.0022674140317647806
2026-08-19,999579.37,640772.98,0.0011683643578068725
2026-08-20,997909.72,671111.56,-0.001670352600414371
2026-08-21,1001377.77,677547.92,0.00347531438014248
