date,equity,cash,flow,adj_factor,equity_adj,daily_return
2026-08-13,100000.0,100000.0,0.0,1.0,100000.0,
2026-08-14,99998.14,92935.84,0.0,1.0,99998.14,-1.8599999999979744e-05
2026-08-17,100029.46,92935.83,0.0,1.0,100029.46,0.00031320582562832655
2026-08-18,99985.31,92951.74,0.0,1.0,99985.31,-0.00044136997240618037
2026-08-19,99999.51,91207.0,0.0,1.0,99999.51,0.00014202086286463356
2026-08-20,99930.87,89523.34,0.0,1.0,99930.87,-0.0006864033633764421
2026-08-21,100004.65,92872.4,0.0,1.0,100004.65,0.0007383103939753166
2026-08-24,100010.74,92903.38,0.0,1.0,100010.74,6.089716828183711e-05
2026-08-25,99928.53,54671.56,0.0,1.0,99928.53,-0.0008220117159417617
2026-08-26,100041.9,96369.18,0.0,1.0,100041.9,0.0011345108348936872
2026-08-27,100078.55,96369.14,0.0,1.0,100078.55,0.00036634650081635023
2026-08-28,100020.41,96342.66,0.0,1.0,100020.41,-0.0005809436687481684
2026-08-31,100073.97,96242.54,0.0,1.0,100073.97,0.0005354907063468417
2026-09-01,100108.75,95467.04,0.0,1.0,100108.75,0.00034754292250016583
2026-09-02,100030.47,93881.05,0.0,1.0,100030.47,-0.0007819496297776229
2026-09-03,100102.78,93466.07,0.0,1.0,100102.78,0.0007228797385436803
