timestamp,session_date,equity
2026-08-14T13:30:00+00:00,2026-08-14,100000.0
2026-08-14T13:35:00+00:00,2026-08-14,99979.99
2026-08-14T13:40:00+00:00,2026-08-14,99991.57
2026-08-14T13:45:00+00:00,2026-08-14,100011.63
2026-08-14T13:50:00+00:00,2026-08-14,100012.23
2026-08-14T13:55:00+00:00,2026-08-14,100012.35
2026-08-14T14:00:00+00:00,2026-08-14,100014.58
2026-08-14T14:05:00+00:00,2026-08-14,100016.71
2026-08-14T14:10:00+00:00,2026-08-14,100024.09
2026-08-14T14:15:00+00:00,2026-08-14,100027.36
2026-08-14T14:20:00+00:00,2026-08-14,100017.01
2026-08-14T14:25:00+00:00,2026-08-14,100022.41
2026-08-14T14:30:00+00:00,2026-08-14,100016.98
2026-08-14T14:35:00+00:00,2026-08-14,100017.96
2026-08-14T14:40:00+00:00,2026-08-14,100019.02
2026-08-14T14:45:00+00:00,2026-08-14,100021.89
2026-08-14T14:50:00+00:00,2026-08-14,100018.37
2026-08-14T14:55:00+00:00,2026-08-14,100015.47
2026-08-14T15:00:00+00:00,2026-08-14,100019.26
2026-08-14T15:05:00+00:00,2026-08-14,100026.06
2026-08-14T15:10:00+00:00,2026-08-14,100019.71
2026-08-14T15:15:00+00:00,2026-08-14,100018.48
2026-08-14T15:20:00+00:00,2026-08-14,100014.09
2026-08-14T15:25:00+00:00,2026-08-14,100014.1
2026-08-14T15:30:00+00:00,2026-08-14,100016.74
2026-08-14T15:35:00+00:00,2026-08-14,100015.41
2026-08-14T15:40:00+00:00,2026-08-14,100006.74
2026-08-14T15:45:00+00:00,2026-08-14,100001.93
2026-08-14T15:50:00+00:00,2026-08-14,100001.35
2026-08-14T15:55:00+00:00,2026-08-14,100003.1
2026-08-14T16:00:00+00:00,2026-08-14,100006.82
2026-08-14T16:05:00+00:00,2026-08-14,100012.31
2026-08-14T16:10:00+00:00,2026-08-14,100010.01
2026-08-14T16:15:00+00:00,2026-08-14,100009.11
2026-08-14T16:20:00+00:00,2026-08-14,100013.52
2026-08-14T16:25:00+00:00,2026-08-14,100014.11
2026-08-14T16:30:00+00:00,2026-08-14,100009.6
2026-08-14T16:35:00+00:00,2026-08-14,100014.3
2026-08-14T16:40:00+00:00,2026-08-14,100013.26
2026-08-14T16:45:00+00:00,2026-08-14,100013.18
2026-08-14T16:50:00+00:00,2026-08-14,100012.21
2026-08-14T16:55:00+00:00,2026-08-14,100010.38
2026-08-14T17:00:00+00:00,2026-08-14,100010.15
2026-08-14T17:05:00+00:00,2026-08-14,100014.13
2026-08-14T17:10:00+00:00,2026-08-14,100012.26
2026-08-14T17:15:00+00:00,2026-08-14,100010.81
2026-08-14T17:20:00+00:00,2026-08-14,100014.16
2026-08-14T17:25:00+00:00,2026-08-14,100012.43
2026-08-14T17:30:00+00:00,2026-08-14,100016.33
2026-08-14T17:35:00+00:00,2026-08-14,100017.67
2026-08-14T17:40:00+00:00,2026-08-14,100009.88
2026-08-14T17:45:00+00:00,2026-08-14,100015.08
2026-08-14T17:50:00+00:00,2026-08-14,100007.48
2026-08-14T17:55:00+00:00,2026-08-14,100011.46
2026-08-14T18:00:00+00:00,2026-08-14,100010.49
2026-08-14T18:05:00+00:00,2026-08-14,100014.24
2026-08-14T18:10:00+00:00,2026-08-14,100015.7
2026-08-14T18:15:00+00:00,2026-08-14,100019.58
2026-08-14T18:20:00+00:00,2026-08-14,100023.75
2026-08-14T18:25:00+00:00,2026-08-14,100020.98
2026-08-14T18:30:00+00:00,2026-08-14,100023.05
2026-08-14T18:35:00+00:00,2026-08-14,100017.39
2026-08-14T18:40:00+00:00,2026-08-14,100017.0
2026-08-14T18:45:00+00:00,2026-08-14,100015.22
2026-08-14T18:50:00+00:00,2026-08-14,100016.06
2026-08-14T18:55:00+00:00,2026-08-14,100017.95
2026-08-14T19:00:00+00:00,2026-08-14,100017.44
2026-08-14T19:05:00+00:00,2026-08-14,100013.43
2026-08-14T19:10:00+00:00,2026-08-14,100009.07
2026-08-14T19:15:00+00:00,2026-08-14,100010.21
2026-08-14T19:20:00+00:00,2026-08-14,100007.56
2026-08-14T19:25:00+00:00,2026-08-14,100012.53
2026-08-14T19:30:00+00:00,2026-08-14,100013.39
2026-08-14T19:35:00+00:00,2026-08-14,100009.26
2026-08-14T19:40:00+00:00,2026-08-14,100006.58
2026-08-14T19:45:00+00:00,2026-08-14,100008.4
2026-08-14T19:50:00+00:00,2026-08-14,100010.02
2026-08-14T19:55:00+00:00,2026-08-14,100008.32
2026-08-14T20:00:00+00:00,2026-08-14,100006.22
2026-08-17T13:30:00+00:00,2026-08-17,99969.18
2026-08-17T13:35:00+00:00,2026-08-17,99953.19
2026-08-17T13:40:00+00:00,2026-08-17,99966.17
2026-08-17T13:45:00+00:00,2026-08-17,99980.27
2026-08-17T13:50:00+00:00,2026-08-17,99984.22
