date,equity,cash,flow,adj_factor,equity_adj,daily_return
2026-09-09,1796.398333,,0.0,1.0,1796.398333,
2026-09-10,1779.46962,,-17.794368,1.010004682521,1797.272649,0.00048670475104906075
2026-09-11,1784.165731,,0.0,1.010004682521,1802.015743,0.002639050954969413
2026-09-12,1784.182985,,0.0,1.010004682521,1802.033169,9.670626276658822e-06
2026-09-13,1783.754766,,0.0,1.010004682521,1801.600666,-0.0002400084540655767
2026-09-14,1784.230542,,0.0,1.010004682521,1802.081202,0.00026672724808851633
2026-09-15,1787.15391,,0.0,1.010004682521,1805.033817,0.0016384474602273436
2026-09-16,1785.930734,,0.0,1.010004682521,1803.798404,-0.000684426782246228
2026-09-17,1785.380358,,0.0,1.010004682521,1803.242522,-0.00030817320600518006
2026-09-18,1792.898641,,0.0,1.010004682521,1810.836023,0.004211025939829582
2026-09-19,1792.749925,,0.0,1.010004682521,1810.685819,-8.294724341861848e-05
2026-09-20,1792.749925,,0.0,1.010004682521,1810.685819,0.0
2026-09-21,1796.906663,,0.0,1.010004682521,1814.884144,0.002318637943883761
2026-09-22,1799.872065,,0.0,1.010004682521,1817.879214,0.001650281598404968
