date,pnl_usd,pnl_cumulative_usd,pnl_cumulative_pct
2026-09-10,0.865655,0.865655,0.0004818837
2026-09-11,4.696111,5.561766,0.003096065
2026-09-12,0.017254,5.57902,0.0031056698
2026-09-13,-0.428219,5.150801,0.0028672934
2026-09-14,0.475776,5.626577,0.0031321433
2026-09-15,2.923368,8.549945,0.0047594928
2026-09-16,-1.223176,7.326769,0.0040785882
2026-09-17,-0.550376,6.776393,0.0037722107
2026-09-18,7.518283,14.294676,0.0079574089
2026-09-19,-0.148716,14.14596,0.0078746232
2026-09-20,0.0,14.14596,0.0078746232
2026-09-21,4.156738,18.302698,0.0101885521
2026-09-22,2.965402,21.2681,0.0118393007
